|   ID | Age |      Profession | Group|                                            Hobbies |
|    1 |  19 |          Cinema | null | Xadrez,Damas,|
|    2 |  10 |          Agente |    1 | |
|    3 |  18 |            Moda |    1 | Futebol,|
|    4 |  79 |     RelPublicas |    1 | |
|    5 |  99 |        Geografo |    2 | |
|    6 |  25 |         Biologo |    2 | Damas,Tenis,Futebol,|
|    7 |  96 |    Farmaceutico |    3 | Futebol,|
|    8 |  84 |       Enfermeio |    3 | Damas,Tenis,|
|    9 |  73 |          Agente |    3 | Damas,|
|   10 |  25 |     RelPublicas |    3 | Futebol,|
|   11 | 100 |          Agente |    3 | Tenis,|
|   12 |  72 |   Nutricionista |    4 | Tenis,Futebol,|
|   13 |  85 |      Jornalismo |    4 | Damas,Tenis,Futebol,|
|   14 |  77 |          Medico |    5 | |
|   15 |  10 |       Enfermeio |    5 | Damas,|
|   16 |  15 |      Pedagogico |    6 | |
|   17 |  98 |         Quimico |    6 | Futebol,|
|   18 |  55 |           Civil |    7 | Damas,Futebol,|
|   19 |  77 |          Fisico |    7 | Xadrez,|
|   20 |  97 |       Enfermeio |    8 | |
|   21 |  95 |          Agente |    8 | Futebol,|
|   22 |  72 |   Nutricionista |    8 | |
|   23 |  34 |          Fisico |    8 | Xadrez,|
|   24 |  11 |      Matematico |    8 | Xadrez,|
|   25 |  23 |      Pedagogico |    9 | Tenis,Futebol,|
|   26 | 100 |      Pedagogico |    9 | |
|   27 |  30 |       Bartender |    9 | Xadrez,Tenis,|
|   28 |  86 |     Aeronautica |    9 | |
|   29 |  57 |          Fisico |   10 | |
|   30 |  72 |   Recepcionista |   10 | Xadrez,|
|   31 |  20 |            Guia |   10 | |
|   32 |  97 |      Matematico |   10 | Xadrez,Damas,Tenis,|
|   33 |  48 |          Fisico |   10 | Tenis,Futebol,|
|   34 |  38 |  Fisioterapeuta |   11 | Damas,Futebol,|
|   35 |  51 |      Jornalismo |   11 | Tenis,Futebol,|
|   36 |  46 |          Cinema |   12 | |
|   37 |  46 |         Quimico |   12 | Tenis,|
|   38 |  52 |          Cinema |   13 | Futebol,|
|   39 |  46 |     Informitico |   13 | Tenis,Futebol,|
|   40 |  58 |          Agente |   13 | Futebol,|
|   41 |  89 |            Moda | null | Xadrez,Futebol,|
|   42 |  74 |   Recepcionista | null | Damas,|
|   43 |  16 |      Jornalismo | null | Tenis,|
|   44 |  11 |          Medico | null | |
|   45 |  18 |      Jornalismo |   14 | Damas,Futebol,|
|   46 |  58 |  Fisioterapeuta |   14 | Xadrez,Damas,|
|   47 |  79 |          Teatro |   15 | Damas,Tenis,|
|   48 |  86 |          Fisico |   15 | Tenis,|
|   49 |  82 |            Moda |   15 | Futebol,|
|   50 |  15 |          Teatro |   15 | Tenis,|
|   51 |  26 |            Guia | null | Damas,Tenis,|
|   52 |  59 |           Danca |   16 | Futebol,|
|   53 |  85 |          Medico |   16 | Xadrez,Tenis,|
|   54 |  20 |      Jornalismo |   16 | Xadrez,Tenis,|
|   55 |  11 |   Nutricionista |   16 | Tenis,|
|   56 |  81 |         Biologo |   17 | Damas,|
|   57 |  99 |          Teatro |   17 | |
|   58 |  66 |        Geografo |   17 | Futebol,|
|   59 |  29 |   Recepcionista |   17 | |
|   60 |  97 |          Medico |   18 | Xadrez,Futebol,|
|   61 |  43 |   Recepcionista |   18 | Xadrez,Futebol,|
|   62 |  60 |           Danca |   18 | |
|   63 |  56 |      Matematico |   19 | Xadrez,Damas,|
|   64 |  26 |        Geografo |   19 | Damas,Tenis,|
|   65 |  14 |  Fisioterapeuta |   20 | Xadrez,Tenis,|
|   66 |  95 |     RelPublicas |   20 | Damas,Tenis,|
|   67 |  88 |      Industrial |   20 | Damas,|
|   68 |  11 |      Fotografia |   20 | Damas,Futebol,|
|   69 |  71 |          Agente |   20 | Xadrez,Tenis,Futebol,|
|   70 |  56 |       Enfermeio |   21 | Tenis,Futebol,|
|   71 |  31 |      Pedagogico |   21 | Futebol,|
|   72 |  71 |           Civil |   21 | |
|   73 |  99 |     Aeronautica |   21 | Futebol,|
|   74 |  51 |       Enfermeio |   21 | |
|   75 |  66 |          Agente |   22 | Xadrez,Futebol,|
|   76 |  50 |          Agente |   22 | Tenis,|
|   77 |  51 |      Fotografia |   22 | |
|   78 |  38 |        Geografo |   23 | Tenis,|
|   79 |  81 |       Enfermeio |   23 | Damas,|
|   80 |  69 |          Medico |   24 | Xadrez,Damas,Futebol,|
|   81 |  51 |          Cinema |   24 | |
|   82 |  96 |     Publicidade |   24 | Futebol,|
|   83 |  35 |          Teatro |   24 | Tenis,Futebol,|
|   84 |  72 |     RelPublicas |   24 | Xadrez,Futebol,|
|   85 |  54 |         Quimico | null | Futebol,|
|   86 |  51 |         Biologo |   25 | Xadrez,Tenis,Futebol,|
|   87 |  58 |          Medico |   25 | Damas,|
|   88 |   7 |  Fisioterapeuta |   25 | Damas,Tenis,|
|   89 |  18 |       Psicologo |   25 | Damas,|
|   90 |  79 |        Geografo |   25 | Futebol,|
|   91 |   9 |            Moda |   26 | |
|   92 |  37 |       Psicologo |   26 | Xadrez,|
|   93 |  79 |          Agente |   26 | Xadrez,Damas,|
|   94 |  79 |      Matematico |   26 | Futebol,|
|   95 |  70 |          Fisico |   26 | |
|   96 |  31 |        LocRadio |   27 | Futebol,|
|   97 |  41 |       Enfermeio |   27 | |
|   98 |  66 |          Medico |   28 | |
|   99 |  52 |     Aeronautica |   28 | Xadrez,|
|  100 |  91 |          Fisico |   28 | Xadrez,Damas,Futebol,|
|  101 |  79 |      Fotografia |   28 | |
|  102 |  17 |      Fotografia |   28 | Damas,Futebol,|
|  103 |  61 |    Farmaceutico |   29 | |
|  104 |   1 |      Industrial |   29 | Damas,Tenis,|
|  105 |  39 |  Fisioterapeuta |   29 | Xadrez,Damas,|
|  106 |  87 |  Fisioterapeuta |   29 | |
|  107 |  39 |      Industrial |   29 | Xadrez,Tenis,|
|  108 |  29 |            Guia |   30 | Futebol,|
|  109 | 100 |         Quimico |   30 | |
|  110 |  46 |  Fisioterapeuta |   30 | Xadrez,|
|  111 |  93 |        Geografo |   30 | |
|  112 |  25 |      Industrial |   31 | |
|  113 |  10 |      Fotografia |   31 | |
|  114 |  58 |     Publicidade |   31 | Futebol,|
|  115 |  39 |       Psicologo |   31 | Xadrez,|
|  116 |  93 |            Moda |   31 | Xadrez,|
|  117 |  26 |         Biologo |   32 | Futebol,|
|  118 |  93 |      Fotografia |   32 | |
|  119 |  50 |      Fotografia |   32 | |
|  120 |  99 |     Aeronautica |   32 | Xadrez,Damas,Futebol,|
|  121 |  97 |   Recepcionista |   33 | |
|  122 |   6 |         Quimico |   33 | Xadrez,|
|  123 |  60 |      Fotografia |   33 | Damas,Futebol,|
